LOCALIZACAO_LOJA;TIPO_JOIA;MARCA;TIPO_OURO;TIPO_PEDRA;PRECO
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;1200
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;ESMERALDA;5250
SHOPPING A;PULSEIRA;SEM MARCA;OURO BRANCO;RUBI;4500
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;1408
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO ROSÉ;SEM PEDRA;3900
SHOPPING A;PULSEIRA;SEM MARCA;OURO BRANCO;SEM PEDRA;1800
SHOPPING A;PULSEIRA;SEM MARCA;OURO BRANCO;SEM PEDRA;1800
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;TURMALINA PARAÍBA;1920
SHOPPING A;ALIANÇA;SEM MARCA;OURO BRANCO;RUBI;3750
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;3900
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO ROSÉ;OUTRAS PEDRAS;2640
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;SEM PEDRA;1300
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;ESMERALDA;3250
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO AMARELO;RUBI;13500
SHOPPING A;COLAR;MARCA NACIONAL;OURO BRANCO;OUTRAS PEDRAS;7392
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;RUBI;5200
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;6336
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;2880
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO AMARELO;OUTRAS PEDRAS;9900
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;6300
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO AMARELO;OUTRAS PEDRAS;11880
