DATA;TIPO_JOIA;TIPO_OURO;TIPO_PEDRA;MARCA;LOCALIZACAO_LOJA;PERFIL_CLIENTE;PRECO
2022-01;COLAR;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;6300
2022-01;ANEL;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;3000
2022-01;BRINCO;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;3900
2022-01;CORRENTE;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;SHOPPING A;GERAÇÃO Z;2880
2022-01;BRINCO;OURO AMARELO;RUBI;MARCA NACIONAL;SHOPPING A;MILLENNIALS;5200
2022-01;COLAR;OURO ROSÉ;RUBI;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;15750
2022-01;COLAR;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;6300
2022-01;BRINCO;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;8580
2022-01;COLAR;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;6300
2022-01;PULSEIRA;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;BABY BOOMER;6336
2022-01;COLAR;OURO BRANCO;RUBI;MARCA NACIONAL;SHOPPING A;GERAÇÃO Z;8400
2022-01;ANEL;OURO ROSÉ;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;6600
2022-01;CORRENTE;OURO BRANCO;ESMERALDA;MARCA NACIONAL;SHOPPING A;GERAÇÃO X;7200
2022-01;ANEL;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;6600
2022-01;COLAR;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;15750
2022-01;BRINCO;OURO AMARELO;DIAMANTE;MARCA NACIONAL;SHOPPING A;BABY BOOMER;8320
2022-01;PINGENTE;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING A;MILLENNIALS;400
2022-01;ANEL;OURO ROSÉ;ESMERALDA;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;7500
2022-01;COLAR;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;13860
2022-01;COLAR;OURO ROSÉ;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING A;MILLENNIALS;10080
2022-01;BRINCO;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;8580
2022-01;PINGENTE;OURO ROSÉ;ESMERALDA;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;3000
2022-01;COLAR;OURO ROSÉ;RUBI;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;15750
2022-01;BRINCO;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;3900
2022-01;BRINCO;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;3900
2022-01;PULSEIRA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING A;GERAÇÃO X;2880
2022-01;CORRENTE;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;11880
2022-01;BRINCO;OURO BRANCO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;MILLENNIALS;4576
2022-01;CORRENTE;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;MILLENNIALS;6336
2022-01;BRINCO;OURO AMARELO;OUTRAS PEDRAS;SEM MARCA;SHOPPING A;GERAÇÃO Z;2860
2022-01;BRINCO;OURO BRANCO;DIAMANTE;MARCA NACIONAL;SHOPPING A;GERAÇÃO Z;8320
2022-01;COLAR;OURO ROSÉ;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;18900
2022-01;COLAR;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;13860
2022-01;PULSEIRA;OURO ROSÉ;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING A;BABY BOOMER;8640
2022-01;COLAR;OURO BRANCO;RUBI;SEM MARCA;SHOPPING A;BABY BOOMER;5250
2022-01;COLAR;OURO AMARELO;DIAMANTE;MARCA NACIONAL;SHOPPING A;GERAÇÃO Z;13440
2022-01;BRINCO;OURO BRANCO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;15600
2022-01;COLAR;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING A;GERAÇÃO Z;8400
2022-01;PINGENTE;OURO BRANCO;RUBI;SEM MARCA;SHOPPING A;BABY BOOMER;1000
2022-01;ANEL;OURO ROSÉ;SEM PEDRA;SEM MARCA;SHOPPING A;GERAÇÃO Z;1000
2022-01;COLAR;OURO ROSÉ;ESMERALDA;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;15750
2022-01;BRINCO;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING A;GERAÇÃO X;5200
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING A;MILLENNIALS;2400
2022-01;BRINCO;OURO BRANCO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;15600
2022-01;PINGENTE;OURO AMARELO;DIAMANTE;SEM MARCA;SHOPPING A;GERAÇÃO Z;1600
2022-01;BRINCO;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING A;MILLENNIALS;2080
2022-01;PULSEIRA;OURO ROSÉ;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;11880
2022-01;BRINCO;OURO ROSÉ;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;8580
2022-01;BRINCO;OURO ROSÉ;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;11700
2022-01;ANEL;OURO BRANCO;RUBI;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;7500
2022-01;PINGENTE;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;1200
2022-01;PULSEIRA;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING A;GERAÇÃO Z;7200
2022-01;ANEL;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING A;GERAÇÃO X;4000
