TIPO_JOIA;TIPO_OURO;TIPO_PEDRA;MARCA;PRECO
BRINCO;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2080
BRINCO;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;3900
BRINCO;OURO AMARELO;RUBI;MARCA NACIONAL;5200
BRINCO;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;8580
BRINCO;OURO AMARELO;DIAMANTE;MARCA NACIONAL;8320
BRINCO;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;2080
BRINCO;OURO BRANCO;ESMERALDA;MARCA INTERNACIONAL;9750
BRINCO;OURO AMARELO;ESMERALDA;MARCA NACIONAL;5200
BRINCO;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;4576
BRINCO;OURO BRANCO;RUBI;MARCA NACIONAL;5200
BRINCO;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;8580
BRINCO;OURO BRANCO;DIAMANTE;MARCA INTERNACIONAL;15600
BRINCO;OURO ROSÉ;RUBI;MARCA NACIONAL;5200
BRINCO;OURO AMARELO;SEM PEDRA;SEM MARCA;1300
BRINCO;OURO BRANCO;OUTRAS PEDRAS;MARCA NACIONAL;4576
BRINCO;OURO AMARELO;RUBI;MARCA INTERNACIONAL;9750
BRINCO;OURO BRANCO;ESMERALDA;MARCA NACIONAL;5200
BRINCO;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;5200
BRINCO;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;15600
BRINCO;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;2080
BRINCO;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;4576
BRINCO;OURO BRANCO;RUBI;MARCA INTERNACIONAL;9750
BRINCO;OURO AMARELO;ESMERALDA;MARCA INTERNACIONAL;9750
BRINCO;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;2080
BRINCO;OURO BRANCO;DIAMANTE;MARCA NACIONAL;8320
BRINCO;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;3900
BRINCO;OURO BRANCO;OUTRAS PEDRAS;SEM MARCA;2860
BRINCO;OURO AMARELO;RUBI;SEM MARCA;3250
BRINCO;OURO BRANCO;ESMERALDA;SEM MARCA;3250
