Data,Tipo_Joia,Tipo_Pedra,Marca,Localizacao_Loja,Preco
2022-01,Pulseira,Outras Pedras,Marca Internacional,Shopping A,11880.000000000002
2022-01,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Brinco,Sem Pedra,Marca Internacional,Shopping A,3900.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping A,6336.000000000001
2022-01,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-01,Brinco,Diamante,Marca Nacional,Shopping A,8320.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping A,3000.0
2022-01,Pingente,Diamante,Marca Nacional,Shopping A,2560.0
2022-01,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping A,3000.0
2022-01,Pulseira,Diamante,Marca Nacional,Shopping A,11520.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping A,1408.0000000000002
2022-01,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-01,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-01,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping A,5400.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping A,13860.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping A,3000.0
2022-01,Anel,Diamante,Marca Nacional,Shopping A,6400.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping A,4576.000000000001
2022-01,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-01,Pulseira,Diamante,Marca Nacional,Shopping A,11520.0
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping A,2640.0000000000005
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping A,8580.000000000002
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-01,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping A,13860.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping A,6336.000000000001
2022-01,Brinco,Diamante,Marca Nacional,Shopping A,8320.0
2022-01,Anel,Diamante,Marca Nacional,Shopping A,6400.0
2022-01,Anel,Diamante,Marca Nacional,Shopping A,6400.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping A,1408.0000000000002
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-01,Anel,Diamante,Marca Nacional,Shopping A,6400.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping A,13860.0
2022-01,Colar,Outras Pedras,Marca Nacional,Shopping A,7392.0
2022-01,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping A,5400.0
2022-01,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping A,5400.0
2022-01,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-01,Pulseira,Outras Pedras,Marca Internacional,Shopping A,11880.000000000002
2022-01,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping A,2640.0000000000005
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping A,5400.0
2022-01,Brinco,Diamante,Marca Nacional,Shopping A,8320.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping B,13860.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping B,3000.0
2022-01,Colar,Sem Pedra,Marca Internacional,Shopping B,6300.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping B,13860.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping B,1600.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping B,21600.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping B,3000.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping B,8580.000000000002
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Pulseira,Outras Pedras,Marca Internacional,Shopping B,11880.000000000002
2022-01,Brinco,Diamante,Marca Internacional,Shopping B,15600.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping B,1600.0
2022-01,Colar,Diamante,Marca Internacional,Shopping B,25200.0
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping B,1200.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping B,15600.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping B,21600.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping B,4800.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping B,8580.000000000002
2022-01,Pulseira,Diamante,Marca Internacional,Shopping B,21600.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping B,6336.000000000001
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping B,4576.000000000001
2022-01,Pulseira,Outras Pedras,Marca Internacional,Shopping B,11880.000000000002
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping B,2640.0000000000005
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping B,2640.0000000000005
2022-01,Pingente,Diamante,Marca Internacional,Shopping B,4800.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping B,2880.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Anel,Diamante,Marca Internacional,Shopping B,12000.0
2022-01,Brinco,Diamante,Marca Nacional,Shopping B,8320.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping B,3360.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping B,13860.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping B,8580.000000000002
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping B,13860.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping B,6336.000000000001
2022-01,Colar,Sem Pedra,Marca Internacional,Shopping B,6300.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping B,15600.0
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping B,2640.0000000000005
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping B,3000.0
2022-01,Brinco,Sem Pedra,Marca Internacional,Shopping B,3900.0
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping B,1200.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping B,6336.000000000001
2022-01,Brinco,Diamante,Marca Internacional,Shopping B,15600.0
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping B,2640.0000000000005
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping B,4576.000000000001
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping B,6336.000000000001
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping B,13860.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping B,3360.0
2022-01,Anel,Diamante,Marca Nacional,Shopping B,6400.0
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping B,2640.0000000000005
2022-01,Pingente,Diamante,Marca Nacional,Shopping B,2560.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping B,4576.000000000001
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping B,2880.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping B,2880.0
2022-01,Colar,Diamante,Marca Internacional,Shopping B,25200.0
2022-01,Anel,Diamante,Marca Internacional,Shopping B,12000.0
2022-01,Colar,Diamante,Marca Internacional,Shopping B,25200.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping B,3360.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping B,15600.0
2022-01,Pingente,Diamante,Marca Internacional,Shopping C,4800.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping C,3360.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping C,8580.000000000002
2022-01,Brinco,Diamante,Marca Nacional,Shopping C,8320.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping C,8580.000000000002
2022-01,Anel,Outras Pedras,Marca Internacional,Shopping C,6600.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping C,2880.0
2022-01,Colar,Sem Pedra,Marca Internacional,Shopping C,6300.0
2022-01,Anel,Diamante,Marca Nacional,Shopping C,6400.0
2022-01,Colar,Sem Pedra,Marca Internacional,Shopping C,6300.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping C,3000.0
2022-01,Colar,Diamante,Marca Internacional,Shopping C,25200.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping C,5400.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping C,5400.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping C,4576.000000000001
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping C,3360.0
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping C,1200.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping C,1600.0
2022-01,Anel,Diamante,Marca Internacional,Shopping C,12000.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping C,1408.0000000000002
2022-01,Pulseira,Outras Pedras,Marca Internacional,Shopping C,11880.000000000002
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping C,3000.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping C,21600.0
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping C,1200.0
2022-01,Pulseira,Diamante,Marca Internacional,Shopping C,21600.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping C,3000.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping C,3360.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping C,1408.0000000000002
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping C,2080.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping C,13860.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping C,640.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping C,4576.000000000001
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping C,640.0
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping C,1200.0
2022-01,Anel,Diamante,Marca Nacional,Shopping C,6400.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping C,5400.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping C,2080.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping C,2080.0
2022-01,Colar,Outras Pedras,Marca Internacional,Shopping C,13860.0
2022-01,Anel,Outras Pedras,Marca Internacional,Shopping C,6600.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping C,6336.000000000001
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping C,1600.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping C,1408.0000000000002
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping C,1200.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping C,1408.0000000000002
2022-01,Brinco,Diamante,Marca Nacional,Shopping C,8320.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping C,1600.0
2022-01,Anel,Diamante,Marca Nacional,Shopping C,6400.0
2022-01,Anel,Outras Pedras,Marca Internacional,Shopping C,6600.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping C,2880.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping C,3360.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping C,3360.0
2022-01,Pingente,Outras Pedras,Marca Internacional,Shopping C,2640.0000000000005
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping C,1600.0
2022-01,Pingente,Diamante,Marca Nacional,Shopping C,2560.0
2022-01,Brinco,Outras Pedras,Marca Internacional,Shopping C,8580.000000000002
2022-01,Pingente,Diamante,Marca Nacional,Shopping C,2560.0
2022-01,Colar,Diamante,Marca Nacional,Shopping C,13440.0
2022-01,Anel,Outras Pedras,Marca Nacional,Shopping C,3520.0
2022-01,Anel,Sem Pedra,Marca Internacional,Shopping C,3000.0
2022-01,Anel,Outras Pedras,Marca Internacional,Shopping C,6600.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping C,640.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping C,1600.0
2022-01,Pulseira,Outras Pedras,Marca Internacional,Shopping D,11880.000000000002
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping D,1408.0000000000002
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping D,2880.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Brinco,Sem Pedra,Marca Internacional,Shopping D,3900.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping D,5400.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping D,4576.000000000001
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping D,2880.0
2022-01,Anel,Outras Pedras,Marca Nacional,Shopping D,3520.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping D,1408.0000000000002
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Pulseira,Sem Pedra,Marca Internacional,Shopping D,5400.0
2022-01,Brinco,Sem Pedra,Marca Internacional,Shopping D,3900.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping D,2880.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping D,4576.000000000001
2022-01,Colar,Outras Pedras,Marca Nacional,Shopping D,7392.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Colar,Outras Pedras,Marca Nacional,Shopping D,7392.0
2022-01,Colar,Diamante,Marca Nacional,Shopping D,13440.0
2022-01,Brinco,Diamante,Marca Internacional,Shopping D,15600.0
2022-01,Brinco,Sem Pedra,Marca Nacional,Shopping D,2080.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Anel,Diamante,Marca Nacional,Shopping D,6400.0
2022-01,Anel,Outras Pedras,Marca Nacional,Shopping D,3520.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping D,2880.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping D,2880.0
2022-01,Pulseira,Sem Pedra,Marca Nacional,Shopping D,2880.0
2022-01,Brinco,Outras Pedras,Marca Nacional,Shopping D,4576.000000000001
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pulseira,Outras Pedras,Marca Nacional,Shopping D,6336.000000000001
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pingente,Outras Pedras,Marca Nacional,Shopping D,1408.0000000000002
2022-01,Colar,Sem Pedra,Marca Internacional,Shopping D,6300.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Anel,Diamante,Marca Nacional,Shopping D,6400.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Anel,Diamante,Marca Nacional,Shopping D,6400.0
2022-01,Anel,Sem Pedra,Marca Nacional,Shopping D,1600.0
2022-01,Pingente,Sem Pedra,Marca Internacional,Shopping D,1200.0
2022-01,Pingente,Sem Pedra,Marca Nacional,Shopping D,640.0
2022-01,Colar,Sem Pedra,Marca Nacional,Shopping D,3360.0
2022-01,Colar,Outras Pedras,Marca Nacional,Shopping D,7392.0
2022-02,Colar,Sem Pedra,Marca Nacional,Shopping A,3360.0
2022-02,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Pulseira,Outras Pedras,Marca Nacional,Shopping A,6336.000000000001
2022-02,Brinco,Outras Pedras,Marca Nacional,Shopping A,4576.000000000001
2022-02,Brinco,Outras Pedras,Marca Internacional,Shopping A,8580.000000000002
2022-02,Pulseira,Outras Pedras,Marca Nacional,Shopping A,6336.000000000001
2022-02,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Pulseira,Outras Pedras,Marca Internacional,Shopping A,11880.000000000002
2022-02,Pulseira,Outras Pedras,Marca Internacional,Shopping A,11880.000000000002
2022-02,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-02,Pingente,Outras Pedras,Marca Nacional,Shopping A,1408.0000000000002
2022-02,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-02,Brinco,Outras Pedras,Marca Nacional,Shopping A,4576.000000000001
2022-02,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-02,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-02,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-02,Pingente,Outras Pedras,Marca Internacional,Shopping A,2640.0000000000005
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Brinco,Diamante,Marca Nacional,Shopping A,8320.0
2022-02,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-02,Colar,Outras Pedras,Marca Nacional,Shopping A,7392.0
2022-02,Pingente,Diamante,Marca Nacional,Shopping A,2560.0
2022-02,Anel,Sem Pedra,Marca Internacional,Shopping A,3000.0
2022-02,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-02,Pingente,Outras Pedras,Marca Internacional,Shopping A,2640.0000000000005
2022-02,Colar,Outras Pedras,Marca Internacional,Shopping A,13860.0
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-02,Pingente,Outras Pedras,Marca Internacional,Shopping A,2640.0000000000005
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Anel,Outras Pedras,Marca Internacional,Shopping A,6600.0
2022-02,Anel,Sem Pedra,Marca Internacional,Shopping A,3000.0
2022-02,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-02,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Pulseira,Outras Pedras,Marca Internacional,Shopping A,11880.000000000002
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Colar,Sem Pedra,Marca Internacional,Shopping A,6300.0
2022-02,Anel,Outras Pedras,Marca Nacional,Shopping A,3520.0
2022-02,Pulseira,Diamante,Marca Nacional,Shopping A,11520.0
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Pingente,Diamante,Marca Internacional,Shopping A,4800.0
2022-02,Brinco,Sem Pedra,Marca Internacional,Shopping A,3900.0
2022-02,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-02,Colar,Diamante,Marca Internacional,Shopping A,25200.0
2022-02,Pulseira,Diamante,Marca Internacional,Shopping A,21600.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
2022-02,Colar,Diamante,Marca Nacional,Shopping A,13440.0
2022-02,Pulseira,Outras Pedras,Marca Internacional,Shopping A,11880.000000000002
2022-02,Anel,Diamante,Marca Internacional,Shopping A,12000.0
2022-02,Brinco,Diamante,Marca Internacional,Shopping A,15600.0
