DATA;TIPO_JOIA;TIPO_PEDRA;MARCA;LOCALIZACAO_LOJA;PRECO
2022-01;COLAR;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;11088
2022-01;BRINCO;DIAMANTE;MARCA NACIONAL;SHOPPING A;6739
2022-01;ANEL;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;5412
2022-01;PULSEIRA;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;4482
2022-01;PULSEIRA;DIAMANTE;MARCA NACIONAL;SHOPPING A;9676
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;21420
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;21672
2022-01;ANEL;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;10440
2022-01;COLAR;DIAMANTE;MARCA NACIONAL;SHOPPING A;11827
2022-01;BRINCO;DIAMANTE;MARCA NACIONAL;SHOPPING A;7404
2022-01;PULSEIRA;DIAMANTE;MARCA NACIONAL;SHOPPING A;10368
2022-01;PINGENTE;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;2402
2022-01;COLAR;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;5796
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;23436
2022-01;ANEL;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;6204
2022-01;PULSEIRA;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;20520
2022-01;BRINCO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;14976
2022-01;PULSEIRA;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;11523
2022-01;BRINCO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;4484
2022-01;COLAR;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;6237
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;25200
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;25452
2022-01;ANEL;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;3590
2022-01;PINGENTE;DIAMANTE;MARCA NACIONAL;SHOPPING A;2636
2022-01;ANEL;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;6864
2022-01;PULSEIRA;DIAMANTE;MARCA NACIONAL;SHOPPING A;12096
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;26712
2022-01;PULSEIRA;DIAMANTE;MARCA NACIONAL;SHOPPING A;12326
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;27216
2022-01;PULSEIRA;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;12949
2022-01;ANEL;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;13200
2022-01;BRINCO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;17316
2022-01;BRINCO;DIAMANTE;MARCA NACIONAL;SHOPPING A;9318
2022-01;ANEL;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;3390
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;28728
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;28980
2022-01;COLAR;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;7308
2022-01;COLAR;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;16216
2022-01;PULSEIRA;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;14018
2022-01;COLAR;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;16493
2022-01;PULSEIRA;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;14256
2022-01;ANEL;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;14280
2022-01;PULSEIRA;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;7476
2022-01;BRINCO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;18252
2022-01;ANEL;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;13920
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;28980
2022-01;COLAR;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;15800
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;28476
2022-01;COLAR;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;7056
2022-01;BRINCO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;4329
2022-01;PINGENTE;DIAMANTE;MARCA NACIONAL;SHOPPING A;2816
2022-01;COLAR;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;15107
2022-01;PULSEIRA;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;23328
2022-01;PULSEIRA;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;23112
2022-01;PULSEIRA;DIAMANTE;MARCA NACIONAL;SHOPPING A;12211
2022-01;PULSEIRA;DIAMANTE;MARCA NACIONAL;SHOPPING A;12096
2022-01;ANEL;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;12480
2022-01;ANEL;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;12360
2022-01;PULSEIRA;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;22032
2022-01;COLAR;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING A;7465
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;25200
2022-01;PULSEIRA;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;21384
2022-01;PULSEIRA;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;21168
2022-01;COLAR;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;6111
2022-01;PINGENTE;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;4608
2022-01;COLAR;DIAMANTE;MARCA INTERNACIONAL;SHOPPING A;23940
