DATA;TIPO_JOIA;TIPO_PEDRA;TIPO_MARCA;LOJA;PRECO
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;11088
2022-01;BRINCO;DIAMANTE;NACIONAL;A;6739
2022-01;ANEL;OUTRAS;INTERNACIONAL;A;5412
2022-01;PULSEIRA;SEM PEDRA;INTERNACIONAL;A;4482
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;9676
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;21420
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;21672
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;10440
2022-01;COLAR;DIAMANTE;NACIONAL;A;11827
2022-01;BRINCO;DIAMANTE;NACIONAL;A;7404
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;10368
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;A;2402
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;5796
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;23436
2022-01;ANEL;OUTRAS;INTERNACIONAL;A;6204
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;20520
2022-01;BRINCO;DIAMANTE;INTERNACIONAL;A;14976
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;A;11523
2022-01;BRINCO;OUTRAS;NACIONAL;A;4484
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;6237
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;25200
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;25452
2022-01;ANEL;OUTRAS;NACIONAL;A;3590
2022-01;PINGENTE;DIAMANTE;NACIONAL;A;2636
2022-01;ANEL;OUTRAS;INTERNACIONAL;A;6864
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;12096
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;26712
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;12326
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;27216
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;A;12949
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;13200
2022-01;BRINCO;DIAMANTE;INTERNACIONAL;A;17316
2022-01;BRINCO;DIAMANTE;NACIONAL;A;9318
2022-01;ANEL;SEM PEDRA;INTERNACIONAL;A;3390
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;28728
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;28980
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;7308
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;16216
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;A;14018
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;16493
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;A;14256
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;14280
2022-01;PULSEIRA;OUTRAS;NACIONAL;A;7476
2022-01;BRINCO;DIAMANTE;INTERNACIONAL;A;18252
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;13920
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;28980
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;15800
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;28476
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;7056
2022-01;BRINCO;SEM PEDRA;INTERNACIONAL;A;4329
2022-01;PINGENTE;DIAMANTE;NACIONAL;A;2816
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;15107
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;23328
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;23112
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;12211
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;12096
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;12480
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;12360
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;22032
2022-01;COLAR;OUTRAS;NACIONAL;A;7465
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;25200
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;21384
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;21168
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;6111
2022-01;PINGENTE;DIAMANTE;INTERNACIONAL;A;4608
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;23940
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;20304
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;11160
2022-01;PULSEIRA;SEM PEDRA;NACIONAL;A;2649
2022-01;PULSEIRA;SEM PEDRA;NACIONAL;A;2620
2022-01;BRINCO;DIAMANTE;INTERNACIONAL;A;14040
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;22428
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;22176
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;18792
